Query	Dates range	Impressions	Clicks	CTR %	Avg. position	Avg. click position	Impressions for 1st position	Clicks from pos. 1	CTR % for pos. 1	Impressions for pos. 2-3	Clicks from pos. 2-3	CTR % for pos. 2-3	Avg. impression position for pos. 2-3	Avg. click position from pos. 2-3	Impressions for pos. 4-10	Clicks from pos. 4-10	CTR % for pos. 4-10	Avg. impression position for pos. 4-10	Avg. click position from pos. 4-10	Impressions for pos. 11-50	Clicks from pos. 11-50	CTR % for pos. 11-50	Avg. impression position for pos. 11-50	Avg. click position from pos. 11-50
стадион ташкент milliy	2025-01-01 - 2025-10-15	6	0	0	11,33333333		0	0		0	0				0	0				6	0	0	11,33333333	
бодомзор ташкент	2025-01-01 - 2025-10-15	6	0	0	7,333333333		0	0		0	0				6	0	0	7,333333333		0	0			
самарканд площадь города	2025-01-01 - 2025-10-15	6	0	0	11,66666667		0	0		0	0				0	0				6	0	0	11,66666667	
карта ташми	2025-01-01 - 2025-10-15	6	0	0	5		1	0	0	1	0	0	3		4	0	0	6,5		0	0			
батыр закиров улица	2025-01-01 - 2025-10-15	6	0	0	3,166666667		0	0		5	0	0	3		1	0	0	4		0	0			
ko'kcha masjid	2025-01-01 - 2025-10-15	6	0	0	6,833333333		0	0		0	0				6	0	0	6,833333333		0	0			
центральный парк имени мирзо улугбека ташкент, улица махатмы ганди фото	2025-01-01 - 2025-10-15	6	0	0	8,166666667		0	0		0	0				6	0	0	8,166666667		0	0			
podium italia ул. матбуотчилар, 21 фото	2025-01-01 - 2025-10-15	6	0	0	7,833333333		0	0		0	0				6	0	0	7,833333333		0	0			
метро космонавтов ташкент видеокамера онлайн	2025-01-01 - 2025-10-15	6	1	16,66666667	2,166666667	1	4	1	25	1	0	0	3		1	0	0	6		0	0			
caex ул. миллий бог, 1, мирзо-улугбекский район, ташкент отзывы	2025-01-01 - 2025-10-15	6	0	0	11,16666667		0	0		0	0				2	0	0	10		4	0	0	11,75	
margilon xonaqoh jome masjidi plan	2025-01-01 - 2025-10-15	6	0	0	4,833333333		0	0		0	0				6	0	0	4,833333333		0	0			
ташкент улица эльбека 41 корп 1 bakan tex	2025-01-01 - 2025-10-15	6	0	0	7,333333333		0	0		0	0				6	0	0	7,333333333		0	0			
карта узбекистана	2025-01-01 - 2025-10-15	6	0	0	5,333333333		0	0		0	0				5	0	0	4		1	0	0	12	
южный вокзал города ташкент ул. шота руставели, 158 фото	2025-01-01 - 2025-10-15	6	0	0	6,666666667		0	0		0	0				6	0	0	6,666666667		0	0			
ozon fc	2025-01-01 - 2025-10-15	6	0	0	7,666666667		0	0		0	0				6	0	0	7,666666667		0	0			
панорама улиц самарканда	2025-01-01 - 2025-10-15	6	2	33,33333333	5,833333333	6,5	0	0		1	0	0	3		5	2	40	6,4	6,5	0	0			
улица максима горького в ташкенте на карте	2025-01-01 - 2025-10-15	6	2	33,33333333	5,5	5	0	0		0	0				6	2	33,33333333	5,5	5	0	0			
себзар какой район	2025-01-01 - 2025-10-15	6	0	0	9,333333333		0	0		0	0				5	0	0	8,8		1	0	0	12	
ташкентский таштурма в каком районе находится	2025-01-01 - 2025-10-15	6	0	0	7,666666667		2	0	0	0	0				1	0	0	8		3	0	0	12	
the бани ул. пахлавона махмуда, 47, ташкент фото и видео	2025-01-01 - 2025-10-15	6	0	0	8,166666667		0	0		0	0				6	0	0	8,166666667		0	0			
yangi toshkent 3d karta	2025-01-01 - 2025-10-15	6	1	16,66666667	2	2	2	0	0	3	1	33,33333333	2	2	1	0	0	4		0	0			
ташкент буюк ипак йули	2025-01-01 - 2025-10-15	6	0	0	5,166666667		0	0		0	0				6	0	0	5,166666667		0	0			
проспект бунедкор ташкент	2025-01-01 - 2025-10-15	6	0	0	3,666666667		0	0		3	0	0	3		3	0	0	4,333333333		0	0			
депо молл ташкент	2025-01-01 - 2025-10-15	6	0	0	12,16666667		0	0		0	0				1	0	0	10		5	0	0	12,6	
buxoro	2025-01-01 - 2025-10-15	6	1	16,66666667	3,166666667	2	1	0	0	4	1	25	2	2	1	0	0	10		0	0			
узбекистан панорама	2025-01-01 - 2025-10-15	6	2	33,33333333	3	4	0	0		4	0	0	2,5		2	2	100	4	4	0	0			
karta	2025-01-01 - 2025-10-15	6	0	0	3,333333333		0	0		4	0	0	3		2	0	0	4		0	0			
улугбек статуя	2025-01-01 - 2025-10-15	6	0	0	7,833333333		0	0		0	0				6	0	0	7,833333333		0	0			
малая кольцевая дорога	2025-01-01 - 2025-10-15	6	0	0	7,666666667		0	0		0	0				5	0	0	7		1	0	0	11	
andijon ? devonaboy (yangi bosh jome) masjidi, jome masjidlari.	2025-01-01 - 2025-10-15	6	0	0	5,5		0	0		0	0				6	0	0	5,5		0	0			
жк nrg mirzo ulugbek	2025-01-01 - 2025-10-15	6	0	0	12,66666667		0	0		0	0				0	0				6	0	0	12,66666667	
it парк в ташкенте	2025-01-01 - 2025-10-15	6	0	0	10,83333333		0	0		0	0				2	0	0	9		4	0	0	11,75	
3д карта ташкента	2025-01-01 - 2025-10-15	6	3	50	1,666666667	1	2	3	150	4	0	0	2		0	0				0	0			
сагбан ул?цма	2025-01-01 - 2025-10-15	6	0	0	9,5		0	0		0	0				4	0	0	8,25		2	0	0	12	
nrg jomiy	2025-01-01 - 2025-10-15	6	0	0	13		0	0		0	0				0	0				6	0	0	13	
ташкент utower	2025-01-01 - 2025-10-15	6	0	0	11,66666667		0	0		0	0				2	0	0	10		4	0	0	12,5	
небо над ташкентом районе сергелей 8-4 02-28 время 2025 года	2025-01-01 - 2025-10-15	6	0	0	9,166666667		0	0		0	0				5	0	0	8,8		1	0	0	11	
термез суши центр	2025-01-01 - 2025-10-15	6	0	0	3		0	0		4	0	0	2,5		2	0	0	4		0	0			
бурбон ул. таллимаржон, 135, ташкент фото	2025-01-01 - 2025-10-15	6	1	16,66666667	4,833333333	5	0	0		0	0				6	1	16,66666667	4,833333333	5	0	0			
shouroom	2025-01-01 - 2025-10-15	6	0	0	5,166666667		0	0		2	0	0	3		3	0	0	4,333333333		1	0	0	12	
brauzer	2025-01-01 - 2025-10-15	6	0	0	8,833333333		0	0		0	0				6	0	0	8,833333333		0	0			
карта ташкента спутник	2025-01-01 - 2025-10-15	6	0	0	5		0	0		2	0	0	3		4	0	0	6		0	0			
ташкент жд вокзал на карте	2025-01-01 - 2025-10-15	6	0	0	10,66666667		0	0		0	0				2	0	0	10		4	0	0	11	
grace garden ул. янгиланиш, 68, бектемирский район фото	2025-01-01 - 2025-10-15	6	0	0	11,66666667		0	0		0	0				1	0	0	10		5	0	0	12	
luna park ул. нодиры, 4, ташкент фото	2025-01-01 - 2025-10-15	6	0	0	7		0	0		0	0				6	0	0	7		0	0			
siberian wellness ул. нукус, 29, ташкент фото	2025-01-01 - 2025-10-15	6	0	0	6,833333333		0	0		0	0				6	0	0	6,833333333		0	0			
nbu просп. амира темура, 101, ташкент фото	2025-01-01 - 2025-10-15	6	0	0	4,833333333		0	0		0	0				6	0	0	4,833333333		0	0			
подиум ташкент	2025-01-01 - 2025-10-15	6	0	0	12,16666667		0	0		0	0				0	0				6	0	0	12,16666667	
спутник карта узбекистон 2017 яккабог	2025-01-01 - 2025-10-15	6	0	0	7,833333333		0	0		0	0				6	0	0	7,833333333		0	0			
хадра что это	2025-01-01 - 2025-10-15	6	0	0	3		0	0		6	0	0	3		0	0				0	0			
панорама узбекистан	2025-01-01 - 2025-10-15	6	1	16,66666667	2	2	1	0	0	5	1	20	2,2	2	0	0				0	0			
улица себзар	2025-01-01 - 2025-10-15	6	1	16,66666667	4,333333333	4	0	0		0	0				6	1	16,66666667	4,333333333	4	0	0			
zohid kebab ул. бешкайрагач, 7а, ташкент фото	2025-01-01 - 2025-10-15	6	0	0	6		0	0		0	0				6	0	0	6		0	0			
аллея бродвей в ташкенте	2025-01-01 - 2025-10-15	6	0	0	12,66666667		0	0		0	0				0	0				6	0	0	12,66666667	
savdo markazi	2025-01-01 - 2025-10-15	6	0	0	8		0	0		0	0				6	0	0	8		0	0			
ташкент улица еды в сергилях	2025-01-01 - 2025-10-15	6	1	16,66666667	13	13	0	0		0	0				0	0				6	1	16,66666667	13	13
кока кола завод	2025-01-01 - 2025-10-15	6	1	16,66666667	8,166666667	6	0	0		0	0				4	1	25	6,75	6	2	0	0	11	
rivera	2025-01-01 - 2025-10-15	6	0	0	10,33333333		0	0		0	0				4	0	0	9,75		2	0	0	11,5	
мирзо улугбек памятник	2025-01-01 - 2025-10-15	6	0	0	7		0	0		0	0				5	0	0	6,2		1	0	0	11	
карасарай	2025-01-01 - 2025-10-15	6	0	0	7		0	0		0	0				5	0	0	6,2		1	0	0	11	
пирамид тауэр в ташкенте сколько этажей	2025-01-01 - 2025-10-15	6	0	0	11,16666667		0	0		0	0				2	0	0	10		4	0	0	11,75	
наманганский парк	2025-01-01 - 2025-10-15	6	0	0	8		0	0		0	0				5	0	0	7		1	0	0	13	
карты ташкент 3 д	2025-01-01 - 2025-10-15	6	3	50	1,333333333	1,333333333	4	2	50	2	1	50	2	2	0	0				0	0			
ташкент ул истикбол	2025-01-01 - 2025-10-15	6	0	0	4		0	0		0	0				6	0	0	4		0	0			
humo arena 3d	2025-01-01 - 2025-10-15	6	3	50	1,333333333	1,333333333	4	2	50	2	1	50	2	2	0	0				0	0			
парк бабура наманган	2025-01-01 - 2025-10-15	6	0	0	6,833333333		0	0		0	0				6	0	0	6,833333333		0	0			
amitsoy resort tashkent	2025-01-01 - 2025-10-15	6	0	0	11,5		0	0		0	0				1	0	0	10		5	0	0	11,8	
гостиницы	2025-01-01 - 2025-10-15	6	0	0	5,833333333		0	0		1	0	0	3		5	0	0	6,4		0	0			
it park узбекистан	2025-01-01 - 2025-10-15	6	0	0	13,5		0	0		0	0				0	0				6	0	0	13,5	
туркистон туйхонаси	2025-01-01 - 2025-10-15	6	0	0	9,833333333		0	0		0	0				4	0	0	8,75		2	0	0	12	
шота руставели улица	2025-01-01 - 2025-10-15	6	0	0	10,5		0	0		0	0				2	0	0	9,5		4	0	0	11	
bobur bog'i	2025-01-01 - 2025-10-15	6	0	0	8,166666667		0	0		0	0				6	0	0	8,166666667		0	0			
тошкент маркази	2025-01-01 - 2025-10-15	6	0	0	5,333333333		0	0		0	0				6	0	0	5,333333333		0	0			
самарканд панорама	2025-01-01 - 2025-10-15	6	0	0	6,166666667		0	0		0	0				6	0	0	6,166666667		0	0			
цум ул. ислама каримова, 17, ташкент фото	2025-01-01 - 2025-10-15	6	0	0	8,333333333		0	0		0	0				5	0	0	7,6		1	0	0	12	
бунёдкор стадион в ташкенте	2025-01-01 - 2025-10-15	6	0	0	13,16666667		0	0		0	0				0	0				6	0	0	13,16666667	
zohid kebab ул. якуба коласа, 2/1 фото	2025-01-01 - 2025-10-15	6	0	0	9,166666667		0	0		0	0				6	0	0	9,166666667		0	0			
порно с отцом	2025-01-01 - 2025-10-15	6	0	0	8		0	0		0	0				6	0	0	8		0	0			
ген план жк nrg м.улугбек	2025-01-01 - 2025-10-15	6	0	0	9,666666667		0	0		0	0				6	0	0	9,666666667		0	0			
массаж шахрисабз	2025-01-01 - 2025-10-15	6	0	0	8		0	0		0	0				6	0	0	8		0	0			
пирамит	2025-01-01 - 2025-10-15	6	0	0	9,166666667		0	0		0	0				5	0	0	8,8		1	0	0	11	
коканж	2025-01-01 - 2025-10-15	6	0	0	2,666666667		0	0		6	0	0	2,666666667		0	0				0	0			
ташкент бродвей	2025-01-01 - 2025-10-15	6	0	0	10,83333333		0	0		0	0				3	0	0	9,666666667		3	0	0	12	
ташкент молл	2025-01-01 - 2025-10-15	6	0	0	11		0	0		0	0				2	0	0	9		4	0	0	12	
farovon hotel khiva	2025-01-01 - 2025-10-15	6	0	0	5		0	0		2	0	0	2		4	0	0	6,5		0	0			
assalom do'stlik	2025-01-01 - 2025-10-15	6	0	0	11		0	0		0	0				2	0	0	10		4	0	0	11,5	
ташкент ташкент, улица ахмада дониша фото	2025-01-01 - 2025-10-15	6	0	0	5,666666667		0	0		2	0	0	3		4	0	0	7		0	0			
ташкент алмазар	2025-01-01 - 2025-10-15	6	0	0	9,166666667		0	0		0	0				6	0	0	9,166666667		0	0			
shosh art	2025-01-01 - 2025-10-15	6	0	0	11,16666667		0	0		0	0				0	0				6	0	0	11,16666667	
кушбеги это	2025-01-01 - 2025-10-15	6	0	0	10		0	0		0	0				3	0	0	8,333333333		3	0	0	11,66666667	
олтин тепа	2025-01-01 - 2025-10-15	6	0	0	7,5		0	0		0	0				6	0	0	7,5		0	0			
ташкент мирзо-улугбекский район улица осиё 1б befit one	2025-01-01 - 2025-10-15	6	0	0	11,66666667		0	0		0	0				2	0	0	10		4	0	0	12,5	
кўкча	2025-01-01 - 2025-10-15	6	0	0	7,333333333		0	0		0	0				6	0	0	7,333333333		0	0			
самарканд ул айбека	2025-01-01 - 2025-10-15	6	0	0	8,5		0	0		0	0				6	0	0	8,5		0	0			
kokaldosh madrasasi	2025-01-01 - 2025-10-15	6	0	0	12,66666667		0	0		0	0				0	0				6	0	0	12,66666667	
3д в ташкент	2025-01-01 - 2025-10-15	6	1	16,66666667	1	1	6	1	16,66666667	0	0				0	0				0	0			
oz'bekiston	2025-01-01 - 2025-10-15	6	0	0	8,333333333		0	0		1	0	0	3		4	0	0	8,25		1	0	0	14	
basri baba ташкент	2025-01-01 - 2025-10-15	6	0	0	10,83333333		0	0		0	0				3	0	0	9,666666667		3	0	0	12	
karta toshkent	2025-01-01 - 2025-10-15	6	0	0	4,666666667		0	0		2	0	0	3		4	0	0	5,5		0	0			
арису саранг	2025-01-01 - 2025-10-15	6	0	0	13,16666667		0	0		0	0				0	0				6	0	0	13,16666667	
узбекистан карта	2025-01-01 - 2025-10-15	6	0	0	11		0	0		0	0				2	0	0	9,5		4	0	0	11,75	
harita ozbekiston 3d	2025-01-01 - 2025-10-15	5	0	0	8,2		0	0		0	0				5	0	0	8,2		0	0			
дворце международных форумов узбекистан	2025-01-01 - 2025-10-15	5	1	20	7,4	7	0	0		0	0				5	1	20	7,4	7	0	0			
ташкент малика	2025-01-01 - 2025-10-15	5	0	0	10,6		0	0		0	0				2	0	0	9,5		3	0	0	11,33333333	
улица ислама каримова ташкент	2025-01-01 - 2025-10-15	5	0	0	4		0	0		0	0				5	0	0	4		0	0			
ресторан элефант ташкент	2025-01-01 - 2025-10-15	5	1	20	8,6	7	0	0		0	0				4	1	25	8	7	1	0	0	11	
ташкент парк кока кола адрес	2025-01-01 - 2025-10-15	5	1	20	3,4	4	0	0		3	0	0	3		2	1	50	4	4	0	0			
assalom dustlik	2025-01-01 - 2025-10-15	5	0	0	8		0	0		0	0				5	0	0	8		0	0			
ишонч магазин	2025-01-01 - 2025-10-15	5	0	0	16,4		0	0		0	0				0	0				5	0	0	16,4	
бухара	2025-01-01 - 2025-10-15	5	0	0	2,8		4	0	0	0	0				1	0	0	10		0	0			
ита скул ташкент	2025-01-01 - 2025-10-15	5	0	0	6		0	0		0	0				5	0	0	6		0	0			
атлас мебель ташкент	2025-01-01 - 2025-10-15	5	0	0	10,2		0	0		0	0				2	0	0	8,5		3	0	0	11,33333333	
массив кушбеги	2025-01-01 - 2025-10-15	5	0	0	5		0	0		1	0	0	3		4	0	0	5,5		0	0			
санаторий на ташморе	2025-01-01 - 2025-10-15	5	2	40	1	1	5	2	40	0	0				0	0				0	0			
мировой карта фото с хорошим качеством	2025-01-01 - 2025-10-15	5	1	20	3	2	0	0		3	1	33,33333333	2	2	2	0	0	4,5		0	0			
карта перевал камчик	2025-01-01 - 2025-10-15	5	0	0	3,8		0	0		1	0	0	3		4	0	0	4		0	0			
монумент мужество в ташкенте	2025-01-01 - 2025-10-15	5	0	0	30		0	0		0	0				0	0				5	0	0	30	
3d карта ташкент	2025-01-01 - 2025-10-15	5	2	40	2	2	0	0		5	2	40	2	2	0	0				0	0			
проспект мустакиллик ташкент	2025-01-01 - 2025-10-15	5	0	0	6,8		0	0		0	0				5	0	0	6,8		0	0			
termiz muhtasham saroy	2025-01-01 - 2025-10-15	5	0	0	3,4		0	0		3	0	0	2,333333333		2	0	0	5		0	0			
шумбола спекаллар кишлоги	2025-01-01 - 2025-10-15	5	0	0	5,2		0	0		0	0				5	0	0	5,2		0	0			
ташкент ibis гостиница	2025-01-01 - 2025-10-15	5	0	0	6,8		0	0		0	0				5	0	0	6,8		0	0			
дархан узбекистан	2025-01-01 - 2025-10-15	5	0	0	8,4		0	0		0	0				5	0	0	8,4		0	0			
нанайский водопад	2025-01-01 - 2025-10-15	5	0	0	8		0	0		0	0				4	0	0	7,25		1	0	0	11	
tabiat muzeyi	2025-01-01 - 2025-10-15	5	0	0	10,8		0	0		0	0				2	0	0	9,5		3	0	0	11,66666667	
golden house ул. истикбол, 45-1, ташкент фото	2025-01-01 - 2025-10-15	5	0	0	4,8		0	0		0	0				5	0	0	4,8		0	0			
sergeli yarmarka	2025-01-01 - 2025-10-15	5	0	0	6,2		0	0		0	0				5	0	0	6,2		0	0			
xonaqoh masjidi plan chizma	2025-01-01 - 2025-10-15	5	1	20	4	4	0	0		0	0				5	1	20	4	4	0	0			
университетская больница akfa medline ул. фараби, 5а, ташкент фото	2025-01-01 - 2025-10-15	5	0	0	11,6		0	0		0	0				0	0				5	0	0	11,6	
панорама города самарканд	2025-01-01 - 2025-10-15	5	1	20	3,2	3	0	0		4	1	25	3	3	1	0	0	4		0	0			
байналминал что такое	2025-01-01 - 2025-10-15	5	0	0	10,4		0	0		0	0				3	0	0	9,666666667		2	0	0	11,5	
andijon choyxona diyor	2025-01-01 - 2025-10-15	5	1	20	2,6	2	0	0		5	1	20	2,6	2	0	0				0	0			
ташкент дворец международных форумов	2025-01-01 - 2025-10-15	5	0	0	10,2		0	0		0	0				3	0	0	9,666666667		2	0	0	11	
буюк ипак йўли харитаси	2025-01-01 - 2025-10-15	5	0	0	7,2		0	0		0	0				5	0	0	7,2		0	0			
adiblar hiyoboni	2025-01-01 - 2025-10-15	5	0	0	5,8		0	0		1	0	0	3		4	0	0	6,5		0	0			
nbu bank	2025-01-01 - 2025-10-15	5	0	0	8		0	0		0	0				5	0	0	8		0	0			
терпез	2025-01-01 - 2025-10-15	5	0	0	9,2		0	0		0	0				4	0	0	8,75		1	0	0	11	
хадра майдони	2025-01-01 - 2025-10-15	5	0	0	7,8		0	0		0	0				5	0	0	7,8		0	0			
фаргона йули ташкент	2025-01-01 - 2025-10-15	5	0	0	4,2		0	0		1	0	0	2		4	0	0	4,75		0	0			
ибис отель ташкент	2025-01-01 - 2025-10-15	5	1	20	4,2	2	0	0		3	1	33,33333333	2,333333333	2	2	0	0	7		0	0			
улица максима горького	2025-01-01 - 2025-10-15	5	0	0	7,4		0	0		1	0	0	3		4	0	0	8,5		0	0			
парк янги узбекистан на карте	2025-01-01 - 2025-10-15	5	0	0	9,2		0	0		0	0				5	0	0	9,2		0	0			
the бани ул мовароуннахр 21 ташкент фото	2025-01-01 - 2025-10-15	5	0	0	7,2		0	0		0	0				5	0	0	7,2		0	0			
тошкент гуллари	2025-01-01 - 2025-10-15	5	0	0	11,4		0	0		0	0				1	0	0	10		4	0	0	11,75	
стадион бунедкор в ташкенте на карте	2025-01-01 - 2025-10-15	5	0	0	8,2		0	0		0	0				5	0	0	8,2		0	0			
ташкент улица нукус	2025-01-01 - 2025-10-15	5	2	40	4,8	4	0	0		0	0				5	2	40	4,8	4	0	0			
premium concept ташкент, саларская набережная фото	2025-01-01 - 2025-10-15	5	0	0	10,6		0	0		0	0				3	0	0	10		2	0	0	11,5	
онлайн камера нукус	2025-01-01 - 2025-10-15	5	2	40	11	12,5	0	0		0	0				1	0	0	5		4	2	50	12,5	12,5
андижон хайвонат богини иш вакти хар кунги очилиш вакти	2025-01-01 - 2025-10-15	5	0	0	2,2		0	0		5	0	0	2,2		0	0				0	0			
трц парус	2025-01-01 - 2025-10-15	5	0	0	7		0	0		0	0				5	0	0	7		0	0			
karta uzbekistan	2025-01-01 - 2025-10-15	5	0	0	4,8		0	0		0	0				5	0	0	4,8		0	0			
панорама карта	2025-01-01 - 2025-10-15	5	0	0	3		0	0		5	0	0	3		0	0				0	0			
максим горький в ташкенте	2025-01-01 - 2025-10-15	5	0	0	7,6		0	0		0	0				5	0	0	7,6		0	0			
улица бунедкор ташкент	2025-01-01 - 2025-10-15	5	0	0	10,4		0	0		0	0				3	0	0	10		2	0	0	11	
cheers чипсы	2025-01-01 - 2025-10-15	5	0	0	11,4		0	0		0	0				0	0				5	0	0	11,4	
когда был заложен фундамент крепости арк?	2025-01-01 - 2025-10-15	5	0	0	12		0	0		0	0				0	0				5	0	0	12	
navigatir khiva ichan qala	2025-01-01 - 2025-10-15	5	0	0	4,4		0	0		2	0	0	2,5		3	0	0	5,666666667		0	0			
ziynat mebel	2025-01-01 - 2025-10-15	5	0	0	10		0	0		0	0				2	0	0	8,5		3	0	0	11	
хива локация покажи локация хива	2025-01-01 - 2025-10-15	5	0	0	5,4		1	0	0	0	0				4	0	0	6,5		0	0			
yunusobod business city	2025-01-01 - 2025-10-15	5	0	0	7,4		0	0		0	0				5	0	0	7,4		0	0			
grown zamon	2025-01-01 - 2025-10-15	5	0	0	3,8		0	0		1	0	0	3		4	0	0	4		0	0			
tashkent tv tower	2025-01-01 - 2025-10-15	5	0	0	10,8		0	0		0	0				2	0	0	9,5		3	0	0	11,66666667	
большой чимган	2025-01-01 - 2025-10-15	5	1	20	38,4	32	0	0		0	0				0	0				5	1	20	38,4	32
самый близкий мечет	2025-01-01 - 2025-10-15	5	0	0	10,2		0	0		0	0				3	0	0	9		2	0	0	12	
text gurup toshkent shirin loihasi	2025-01-01 - 2025-10-15	5	3	60	1,4	1,333333333	3	2	66,66666667	2	1	50	2	2	0	0				0	0			
магистраль ул. мустакиллик, 9 фото	2025-01-01 - 2025-10-15	5	0	0	9,4		0	0		0	0				3	0	0	8,333333333		2	0	0	11	
андижон темир эшиклари	2025-01-01 - 2025-10-15	5	2	40	5,2	5	0	0		0	0				5	2	40	5,2	5	0	0			
наманган аэропорт фото	2025-01-01 - 2025-10-15	5	0	0	11,2		0	0		0	0				1	0	0	7		4	0	0	12,25	
city 21 pan asian restaurant & lounge ул. укчи, 1 фото и видео	2025-01-01 - 2025-10-15	5	0	0	10,4		0	0		0	0				3	0	0	9,666666667		2	0	0	11,5	
девушка на видео видеть хочу	2025-01-01 - 2025-10-15	5	0	0	4,4		0	0		1	0	0	3		4	0	0	4,75		0	0			
зомин болалар оромгохи	2025-01-01 - 2025-10-15	5	0	0	8,6		0	0		0	0				5	0	0	8,6		0	0			
cheers чипсы производитель	2025-01-01 - 2025-10-15	5	0	0	9		0	0		0	0				3	0	0	7		2	0	0	12	
нанайские водопады	2025-01-01 - 2025-10-15	5	0	0	6,8		0	0		0	0				5	0	0	6,8		0	0			
ташкент район ц-4	2025-01-01 - 2025-10-15	5	1	20	8,8	7	0	0		0	0				5	1	20	8,8	7	0	0			
самарканд на какой высоте	2025-01-01 - 2025-10-15	5	0	0	8,4		1	0	0	0	0				1	0	0	7		3	0	0	11,33333333	
кафе машъал ташкент	2025-01-01 - 2025-10-15	5	0	0	10		0	0		0	0				3	0	0	9,333333333		2	0	0	11	
жк infinity ул. истикбол, 41 фото	2025-01-01 - 2025-10-15	5	0	0	11,4		0	0		0	0				1	0	0	10		4	0	0	11,75	
басри баба ресторан в ташкенте	2025-01-01 - 2025-10-15	5	0	0	12,2		0	0		0	0				0	0				5	0	0	12,2	
бухара что посмотреть	2025-01-01 - 2025-10-15	5	0	0	6,2		1	0	0	1	0	0	3		3	0	0	9		0	0			
дворгиз	2025-01-01 - 2025-10-15	5	0	0	2		0	0		5	0	0	2		0	0				0	0			
ташкент улица махтумкули	2025-01-01 - 2025-10-15	5	0	0	6,6		0	0		0	0				5	0	0	6,6		0	0			
эскалаторы уже установлен в тц таатан osten от akfa build	2025-01-01 - 2025-10-15	5	1	20	7,8	6	0	0		0	0				5	1	20	7,8	6	0	0			
хужобод	2025-01-01 - 2025-10-15	5	0	0	11,2		0	0		0	0				2	0	0	10		3	0	0	12	
памятник мирзо улугбеку	2025-01-01 - 2025-10-15	5	0	0	6,6		0	0		0	0				5	0	0	6,6		0	0			
депо молл в ташкенте	2025-01-01 - 2025-10-15	5	0	0	11,4		0	0		0	0				2	0	0	10		3	0	0	12,33333333	
навигатор андижон темирйул бекати	2025-01-01 - 2025-10-15	5	2	40	2,2	2	0	0		5	2	40	2,2	2	0	0				0	0			
квадро ресторан в ташкенте	2025-01-01 - 2025-10-15	5	0	0	12,4		0	0		0	0				0	0				5	0	0	12,4	
tuzel	2025-01-01 - 2025-10-15	5	0	0	8,6		0	0		0	0				5	0	0	8,6		0	0			
чимган тц	2025-01-01 - 2025-10-15	5	0	0	12,4		0	0		0	0				0	0				5	0	0	12,4	
миллий ташкент узбекистан	2025-01-01 - 2025-10-15	5	0	0	11		0	0		0	0				0	0				5	0	0	11	
карта ташкент	2025-01-01 - 2025-10-15	5	0	0	5,2		0	0		1	0	0	3		4	0	0	5,75		0	0			
улица махтумкули в ташкенте	2025-01-01 - 2025-10-15	5	0	0	6,6		0	0		0	0				5	0	0	6,6		0	0			
музей в ташкенте восковых фигур	2025-01-01 - 2025-10-15	5	0	0	10,4		0	0		0	0				3	0	0	9,666666667		2	0	0	11,5	
коканд горд марокпнд молл	2025-01-01 - 2025-10-15	5	0	0	5,4		0	0		1	0	0	2		4	0	0	6,25		0	0			
9 etaj	2025-01-01 - 2025-10-15	5	0	0	1,6		2	0	0	3	0	0	2		0	0				0	0			
звездное небо ташкента	2025-01-01 - 2025-10-15	5	1	20	4	4	0	0		0	0				5	1	20	4	4	0	0			
ул. махтумкули	2025-01-01 - 2025-10-15	5	0	0	6,8		0	0		0	0				4	0	0	5,25		1	0	0	13	
арко мебель ташкент	2025-01-01 - 2025-10-15	5	0	0	11,8		0	0		0	0				0	0				5	0	0	11,8	
улица бабура	2025-01-01 - 2025-10-15	5	0	0	10,2		0	0		0	0				2	0	0	9		3	0	0	11	
фото	2025-01-01 - 2025-10-15	5	0	0	3,6		1	0	0	1	0	0	2		3	0	0	5		0	0			
мечеть биби ханум план	2025-01-01 - 2025-10-15	5	1	20	3,6	2	0	0		3	1	33,33333333	2	2	2	0	0	6		0	0			
буюк ипак йули ташкент	2025-01-01 - 2025-10-15	5	0	0	5,6		0	0		0	0				5	0	0	5,6		0	0			
ц-4 ташкент	2025-01-01 - 2025-10-15	5	0	0	5,6		0	0		0	0				5	0	0	5,6		0	0			
стадион миллий в ташкенте на карте	2025-01-01 - 2025-10-15	5	0	0	8,4		0	0		0	0				5	0	0	8,4		0	0			
хумо арена места	2025-01-01 - 2025-10-15	5	0	0	10,8		0	0		0	0				3	0	0	9,333333333		2	0	0	13	
страна узбекистан город ташкент район мирабадский ислам каримов дом 6	2025-01-01 - 2025-10-15	5	0	0	11,4		0	0		0	0				0	0				5	0	0	11,4	
нукус панорама	2025-01-01 - 2025-10-15	5	2	40	2,6	3	1	0	0	4	2	50	3	3	0	0				0	0			
the бани ул. пахлавона махмуда, 47 отзывы	2025-01-01 - 2025-10-15	5	0	0	10,4		0	0		0	0				3	0	0	9,333333333		2	0	0	12	
гугол панорама улиц ташкенте	2025-01-01 - 2025-10-15	5	1	20	4	4	0	0		1	0	0	3		4	1	25	4,25	4	0	0			
чиланзар ташкент, чиланзарский район, малая кольцевая дорога фото	2025-01-01 - 2025-10-15	5	0	0	6,2		0	0		0	0				5	0	0	6,2		0	0			
музей природы	2025-01-01 - 2025-10-15	5	0	0	9,8		0	0		0	0				3	0	0	8,666666667		2	0	0	11,5	
максима горького ташкент	2025-01-01 - 2025-10-15	5	1	20	9	9	0	0		0	0				4	1	25	8,5	9	1	0	0	11	
